Quarter,Sales,Q1,Q2,Q3,Q4,t
Q1_86,1734.827,1,0,0,0,1
Q2_86,2244.960999,0,1,0,0,2
Q3_86,2533.804993,0,0,1,0,3
Q4_86,2154.962997,0,0,0,1,4
Q1_87,1547.818996,1,0,0,0,5
Q2_87,2104.411995,0,1,0,0,6
Q3_87,2014.362999,0,0,1,0,7
Q4_87,1991.746998,0,0,0,1,8
Q1_88,1869.049999,1,0,0,0,9
Q2_88,2313.631996,0,1,0,0,10
Q3_88,2128.32,0,0,1,0,11
Q4_88,2026.828999,0,0,0,1,12
Q1_89,1910.603996,1,0,0,0,13
Q2_89,2331.164993,0,1,0,0,14
Q3_89,2206.549995,0,0,1,0,15
Q4_89,2173.967995,0,0,0,1,16
Q1_90,2148.278,1,0,0,0,17
Q2_90,2739.307999,0,1,0,0,18
Q3_90,2792.753998,0,0,1,0,19
Q4_90,2556.009995,0,0,0,1,20
Q1_91,2480.973999,1,0,0,0,21
Q2_91,3039.522995,0,1,0,0,22
Q3_91,3172.115997,0,0,1,0,23
Q4_91,2879.000999,0,0,0,1,24
Q1_92,2772,1,0,0,0,25
Q2_92,3550,0,1,0,0,26
Q3_92,3508,0,0,1,0,27
Q4_92,3243.859993,0,0,0,1,28
Q1_93,3056,1,0,0,0,29
Q2_93,3899,0,1,0,0,30
Q3_93,3629,0,0,1,0,31
Q4_93,3373,0,0,0,1,32
Q1_94,3352,1,0,0,0,33
Q2_94,4342,0,1,0,0,34
Q3_94,4461,0,0,1,0,35
Q4_94,4017,0,0,0,1,36
Q1_95,3854,1,0,0,0,37
Q2_95,4936,0,1,0,0,38
Q3_95,4895,0,0,1,0,39
Q4_95,4333,0,0,0,1,40
Q1_96,4194,1,0,0,0,41
Q2_96,5253,0,1,0,0,42
